,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
node str s-lcoh alpha,0.0 (0.18),0.17 (0.23),0.0 (0.21),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.15),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.5),0.02 (0.08)
node str s-lcoh beta,0.32 (0.4),0.0 (0.02),0.0 (0.01),0.0 (0.06),0.03 (0.07),0.0 (0.0),0.02 (0.03),0.0 (0.01),0.03 (0.05),0.04 (0.06),0.0 (0.0),0.0 (0.04)
node str s-lcoh delta,0.04 (0.45),0.19 (0.32),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.0),0.16 (0.24),0.43 (0.24),0.46 (0.37),0.36 (0.5),0.04 (0.38),0.41 (0.27)
node str s-lcoh gamma,0.64 (0.73),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.08),0.01 (0.05),0.0 (0.0),0.09 (0.12),0.02 (0.13),0.0 (0.05),0.02 (0.11),0.0 (0.05)
node str s-lcoh theta,0.0 (0.2),0.62 (0.93),0.25 (0.29),0.0 (0.0),0.0 (0.11),0.0 (0.0),0.0 (0.0),0.0 (0.05),0.0 (0.0),0.0 (0.03),0.0 (0.46),0.1 (0.2)
node str s-lps alpha,0.0 (0.32),0.07 (0.18),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.02 (0.14),0.0 (0.0),0.21 (0.83),0.0 (0.1),0.0 (0.0),0.05 (0.12)
node str s-lps beta,0.14 (0.25),0.0 (0.0),0.0 (0.75),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.03 (0.06),0.04 (0.1),0.0 (0.19),0.0 (0.03)
node str s-lps delta,0.1 (0.18),0.0 (0.29),0.0 (0.0),0.0 (0.06),0.0 (0.0),0.0 (0.63),0.12 (0.18),0.45 (0.6),0.2 (0.2),0.0 (0.37),0.0 (0.0),0.59 (0.22)
node str s-lps gamma,0.71 (0.57),0.0 (0.03),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.05 (0.07),0.0 (0.09),0.0 (0.09),0.01 (0.78),0.1 (0.75)
node str s-lps theta,0.17 (0.25),0.01 (0.23),0.31 (0.5),0.0 (0.0),0.0 (0.18),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.1 (0.25)
permutation entropy,0.0 (0.0),0.55 (0.71),0.04 (0.09),0.34 (0.59),0.0 (0.19),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.06 (0.14)
range asymmetry alpha,0.0 (0.0),0.38 (0.66),0.26 (0.3),0.0 (0.0),0.0 (0.01),0.0 (0.08),0.0 (0.0),0.0 (0.01),0.0 (0.17),0.0 (0.0),0.03 (0.12),0.0 (0.01)
range asymmetry beta,0.0 (0.0),0.0 (0.0),0.21 (0.27),0.33 (0.37),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.05 (0.21),0.05 (0.27),0.26 (0.36),0.0 (0.0),0.0 (0.13)
range asymmetry delta,0.08 (0.24),0.0 (0.0),0.0 (0.03),0.4 (0.31),0.0 (0.08),0.45 (0.31),0.0 (0.01),0.0 (0.0),0.09 (0.11),0.0 (0.0),0.0 (0.0),0.0 (0.06)
range asymmetry gamma,0.2 (0.47),0.3 (0.42),0.08 (0.25),0.0 (0.0),0.0 (0.0),0.0 (0.19),0.0 (0.0),0.12 (0.18),0.0 (0.59),0.02 (0.09),0.17 (0.73),0.0 (0.0)
range asymmetry theta,0.0 (0.53),0.0 (0.0),0.0 (0.03),0.11 (0.36),0.24 (0.39),0.0 (0.0),0.06 (0.16),0.0 (0.24),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.05 (0.23)
range coef var alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.06 (0.13),0.01 (0.04),0.01 (0.03),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.21),0.0 (0.0)
range coef var beta,0.0 (0.0),0.01 (0.05),0.54 (0.77),0.11 (0.09),0.0 (0.06),0.0 (0.0),0.0 (0.0),0.21 (0.19),0.08 (0.27),0.0 (0.0),0.0 (0.0),0.14 (0.2)
range coef var delta,0.0 (0.12),0.0 (0.0),0.0 (0.19),0.26 (0.5),0.0 (0.0),0.28 (0.37),0.02 (0.1),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.02)
range coef var gamma,0.0 (0.0),0.68 (0.28),0.0 (0.04),0.0 (0.0),0.02 (0.1),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0)
range coef var theta,0.0 (0.01),0.0 (0.04),0.0 (0.04),0.03 (0.06),0.0 (0.18),0.07 (0.2),0.04 (0.09),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.07),0.36 (0.3)
relative ampl alpha,0.04 (0.06),0.39 (0.27),0.08 (0.18),0.0 (0.0),0.02 (0.28),0.0 (0.02),0.0 (0.06),0.0 (0.0),0.0 (0.02),0.03 (0.21),0.0 (0.02),0.21 (0.26)
relative ampl beta,0.04 (0.15),0.19 (0.32),0.06 (0.11),0.02 (0.36),0.3 (0.46),0.0 (0.02),0.01 (0.02),0.06 (0.11),0.0 (0.2),0.0 (0.0),0.0 (0.01),0.31 (0.35)
relative ampl delta,0.0 (0.01),0.02 (0.06),0.0 (0.08),0.0 (0.03),0.01 (0.31),0.07 (0.08),0.14 (0.19),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.05 (0.11),0.63 (0.23)
relative ampl gamma,0.0 (0.0),0.66 (0.38),0.05 (0.1),0.45 (0.56),0.0 (0.26),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.05 (0.15),0.08 (0.15)
relative ampl theta,0.0 (0.0),0.1 (0.2),0.05 (0.09),0.48 (0.3),0.25 (0.38),0.15 (0.22),0.02 (0.03),0.21 (0.17),0.03 (0.06),0.03 (0.28),0.0 (0.21),0.27 (0.41)
rqa determinism,0.14 (0.27),0.68 (0.44),0.12 (0.28),0.33 (0.34),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.4 (0.51),0.0 (0.0),0.02 (0.18),0.17 (0.27)
rqa entropy,0.05 (0.15),0.0 (0.04),0.0 (0.5),0.04 (0.08),0.0 (0.01),0.0 (0.0),0.06 (0.11),0.16 (0.18),0.33 (0.49),0.0 (0.0),0.06 (0.12),0.36 (0.12)
rqa laminarity,0.35 (0.43),0.51 (0.39),0.06 (0.09),0.39 (0.39),0.0 (0.31),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.09),0.0 (0.0),0.0 (0.02),0.04 (0.09)
rqa max diagonal,0.05 (0.41),0.62 (0.29),0.06 (0.1),0.52 (0.32),0.0 (0.0),0.0 (0.3),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.04 (0.1)
rqa max vertical,0.09 (0.37),0.69 (0.4),0.04 (0.25),0.26 (0.5),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.04),0.02 (0.11)
rqa mean diagonal,0.0 (0.14),0.0 (0.19),0.0 (0.55),0.11 (0.26),0.0 (0.0),0.0 (0.0),0.07 (0.12),0.14 (0.17),0.39 (0.59),0.0 (0.0),0.03 (0.06),0.41 (0.15)
rqa rte,0.0 (0.0),0.57 (0.66),0.12 (0.21),0.13 (0.24),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.07),0.17 (0.41),0.0 (0.01),0.08 (0.19)
rqa trapping time,0.05 (0.45),0.44 (0.69),0.09 (0.28),0.4 (0.41),0.0 (0.0),0.0 (0.35),0.0 (0.0),0.0 (0.0),0.0 (0.09),0.0 (0.0),0.0 (0.02),0.01 (0.06)
sample entropy,0.0 (0.01),0.54 (0.78),0.04 (0.09),0.54 (0.26),0.0 (0.01),0.0 (0.21),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.12),0.08 (0.18)
skewness ampl alpha,0.07 (0.07),0.3 (0.57),0.17 (0.35),0.0 (0.0),0.0 (0.26),0.0 (0.27),0.11 (0.14),0.0 (0.05),0.0 (0.0),0.06 (0.11),0.0 (0.0),0.06 (0.13)
skewness ampl beta,0.0 (0.0),0.0 (0.02),0.29 (0.43),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.05 (0.12),0.02 (0.06),0.0 (0.2),0.18 (0.28)
skewness ampl delta,0.0 (0.07),0.02 (0.09),0.0 (0.02),0.0 (0.31),0.5 (0.23),0.17 (0.38),0.04 (0.05),0.13 (0.47),0.0 (0.0),0.08 (0.45),0.56 (0.6),0.31 (0.51)
skewness ampl gamma,0.24 (0.13),0.13 (0.33),0.17 (0.49),0.4 (0.5),0.15 (0.16),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.01 (0.18),0.0 (0.0),0.0 (0.03),0.0 (0.2)
skewness ampl theta,0.34 (0.47),0.28 (0.43),0.21 (0.2),0.0 (0.01),0.0 (0.02),0.0 (0.02),0.0 (0.01),0.03 (0.05),0.0 (0.03),0.0 (0.49),0.54 (0.78),0.46 (0.39)
source ampl alpha,0.0 (0.0),0.05 (0.22),0.12 (0.16),0.01 (0.06),0.01 (0.11),0.0 (0.0),0.0 (0.1),0.03 (0.63),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.1 (0.38)
source ampl beta,0.02 (0.08),0.0 (0.01),0.0 (0.03),0.0 (0.1),0.22 (0.13),0.0 (0.07),0.18 (0.13),0.15 (0.26),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.25 (0.55)
source ampl delta,0.16 (0.26),0.09 (0.26),0.0 (0.0),0.0 (0.0),0.0 (0.24),0.13 (0.11),0.0 (0.01),0.0 (0.6),0.0 (0.01),0.0 (0.0),0.03 (0.07),0.41 (0.55)
source ampl gamma,0.0 (0.06),0.0 (0.03),0.0 (0.0),0.02 (0.09),0.0 (0.01),0.0 (0.0),0.13 (0.09),0.0 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.09),0.06 (0.17)
source ampl theta,0.0 (0.01),0.11 (0.23),0.2 (0.23),0.01 (0.07),0.02 (0.15),0.02 (0.12),0.0 (0.02),0.5 (0.42),0.0 (0.0),0.0 (0.0),0.0 (0.05),0.06 (0.49)
spectral entropy alpha,0.05 (0.09),0.42 (0.48),0.12 (0.14),0.0 (0.02),0.0 (0.0),0.0 (0.02),0.0 (0.09),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.01),0.15 (0.24)
spectral entropy beta,0.04 (0.13),0.21 (0.33),0.05 (0.11),0.03 (0.39),0.35 (0.43),0.0 (0.01),0.01 (0.02),0.05 (0.11),0.0 (0.2),0.0 (0.0),0.0 (0.01),0.33 (0.43)
spectral entropy delta,0.0 (0.01),0.03 (0.06),0.0 (0.1),0.0 (0.03),0.2 (0.38),0.06 (0.07),0.15 (0.2),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.04 (0.11),0.61 (0.21)
spectral entropy gamma,0.0 (0.0),0.68 (0.3),0.05 (0.1),0.46 (0.54),0.0 (0.22),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.04 (0.15),0.07 (0.15)
spectral entropy theta,0.0 (0.01),0.08 (0.17),0.04 (0.09),0.47 (0.31),0.35 (0.46),0.01 (0.25),0.02 (0.03),0.21 (0.16),0.03 (0.07),0.03 (0.28),0.0 (0.23),0.0 (0.4)
std ampl alpha,0.0 (0.61),0.01 (0.14),0.07 (0.31),0.11 (0.26),0.36 (0.65),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.13 (0.18),0.0 (0.03)
std ampl beta,0.05 (0.08),0.0 (0.0),0.0 (0.08),0.37 (0.41),0.08 (0.08),0.0 (0.0),0.07 (0.11),0.02 (0.03),0.0 (0.0),0.0 (0.01),0.11 (0.09),0.0 (0.04)
std ampl delta,0.0 (0.05),0.0 (0.01),0.0 (0.06),0.05 (0.11),0.07 (0.12),0.0 (0.59),0.0 (0.04),0.0 (0.02),0.0 (0.0),0.0 (0.02),0.06 (0.17),0.42 (0.42)
std ampl gamma,0.18 (0.13),0.0 (0.6),0.0 (0.0),0.0 (0.05),0.04 (0.09),0.0 (0.0),0.02 (0.06),0.0 (0.02),0.0 (0.0),0.0 (0.03),0.09 (0.15),0.12 (0.2)
std ampl theta,0.0 (0.0),0.0 (0.0),0.07 (0.11),0.08 (0.27),0.65 (0.73),0.0 (0.08),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.06 (0.08),0.0 (0.06)
waiting time alpha,0.03 (0.13),0.14 (0.51),0.06 (0.22),0.0 (0.02),0.0 (0.01),0.02 (0.06),0.0 (0.0),0.0 (0.02),0.0 (0.03),0.0 (0.21),0.01 (0.26),0.03 (0.08)
waiting time beta,0.0 (0.06),0.0 (0.32),0.0 (0.05),0.12 (0.16),0.05 (0.06),0.0 (0.03),0.0 (0.01),0.08 (0.15),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.28 (0.33)
waiting time delta,0.0 (0.06),0.0 (0.23),0.28 (0.47),0.0 (0.02),0.0 (0.0),0.0 (0.03),0.01 (0.06),0.0 (0.0),0.0 (0.01),0.0 (0.01),0.0 (0.26),0.0 (0.24)
waiting time gamma,0.15 (0.32),0.47 (0.64),0.0 (0.06),0.0 (0.01),0.02 (0.04),0.0 (0.03),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.07),0.0 (0.0),0.4 (0.22)
waiting time theta,0.0 (0.19),0.28 (0.18),0.15 (0.16),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.17 (0.42)
