,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
node str s-lcoh alpha,0.68 (0.19),0.61 (0.18),0.76 (0.18),0.75 (0.22),0.75 (0.23),0.8 (0.18),0.83 (0.1),0.81 (0.12),0.8 (0.17),0.72 (0.18),0.73 (0.22),0.73 (0.21)
node str s-lcoh beta,0.81 (0.23),0.66 (0.23),0.76 (0.16),0.61 (0.19),0.78 (0.23),0.61 (0.23),0.83 (0.12),0.82 (0.09),0.75 (0.22),0.73 (0.22),0.78 (0.19),0.64 (0.18)
node str s-lcoh delta,0.69 (0.25),0.77 (0.16),0.75 (0.2),0.81 (0.2),0.79 (0.23),0.63 (0.18),0.78 (0.17),0.79 (0.12),0.63 (0.24),0.72 (0.18),0.75 (0.26),0.72 (0.2)
node str s-lcoh gamma,0.63 (0.24),0.76 (0.21),0.74 (0.2),0.66 (0.19),0.66 (0.18),0.73 (0.19),0.74 (0.2),0.8 (0.13),0.68 (0.18),0.62 (0.16),0.66 (0.21),0.6 (0.21)
node str s-lcoh theta,0.76 (0.17),0.67 (0.23),0.8 (0.15),0.8 (0.15),0.65 (0.21),0.8 (0.21),0.78 (0.16),0.79 (0.1),0.62 (0.12),0.69 (0.2),0.74 (0.16),0.66 (0.21)
node str s-lps alpha,0.65 (0.21),0.62 (0.2),0.78 (0.22),0.62 (0.17),0.75 (0.27),0.77 (0.17),0.82 (0.14),0.82 (0.11),0.76 (0.21),0.68 (0.2),0.73 (0.18),0.64 (0.15)
node str s-lps beta,0.76 (0.2),0.63 (0.23),0.74 (0.21),0.6 (0.18),0.78 (0.2),0.64 (0.23),0.82 (0.11),0.81 (0.14),0.61 (0.21),0.62 (0.2),0.77 (0.19),0.75 (0.2)
node str s-lps delta,0.65 (0.24),0.75 (0.18),0.82 (0.18),0.77 (0.21),0.79 (0.23),0.61 (0.2),0.76 (0.22),0.8 (0.12),0.65 (0.25),0.69 (0.24),0.65 (0.25),0.73 (0.21)
node str s-lps gamma,0.66 (0.23),0.61 (0.22),0.77 (0.2),0.66 (0.2),0.67 (0.19),0.71 (0.15),0.82 (0.13),0.82 (0.14),0.78 (0.19),0.68 (0.2),0.71 (0.2),0.69 (0.2)
node str s-lps theta,0.77 (0.19),0.76 (0.23),0.81 (0.12),0.74 (0.18),0.74 (0.2),0.79 (0.19),0.77 (0.17),0.8 (0.1),0.76 (0.19),0.6 (0.16),0.67 (0.2),0.73 (0.18)
permutation entropy,0.62 (0.17),0.56 (0.18),0.72 (0.23),0.74 (0.25),0.7 (0.27),0.57 (0.17),0.78 (0.15),0.76 (0.18),0.64 (0.18),0.72 (0.25),0.79 (0.25),0.61 (0.18)
range asymmetry alpha,0.61 (0.2),0.81 (0.22),0.77 (0.22),0.81 (0.15),0.72 (0.24),0.76 (0.17),0.81 (0.09),0.8 (0.16),0.7 (0.19),0.8 (0.11),0.77 (0.15),0.62 (0.17)
range asymmetry beta,0.75 (0.24),0.76 (0.19),0.82 (0.09),0.76 (0.16),0.81 (0.22),0.75 (0.21),0.82 (0.1),0.81 (0.12),0.74 (0.24),0.68 (0.18),0.76 (0.2),0.76 (0.2)
range asymmetry delta,0.62 (0.21),0.78 (0.14),0.79 (0.12),0.77 (0.22),0.75 (0.24),0.8 (0.16),0.81 (0.12),0.82 (0.13),0.65 (0.22),0.74 (0.19),0.78 (0.17),0.74 (0.22)
range asymmetry gamma,0.73 (0.22),0.69 (0.19),0.77 (0.21),0.81 (0.17),0.75 (0.22),0.72 (0.19),0.81 (0.15),0.82 (0.15),0.74 (0.21),0.79 (0.16),0.8 (0.18),0.77 (0.22)
range asymmetry theta,0.75 (0.23),0.7 (0.23),0.74 (0.22),0.68 (0.19),0.76 (0.23),0.77 (0.14),0.81 (0.14),0.81 (0.12),0.76 (0.21),0.65 (0.16),0.64 (0.21),0.74 (0.18)
range coef var alpha,0.67 (0.23),0.61 (0.24),0.72 (0.25),0.67 (0.21),0.82 (0.07),0.69 (0.21),0.76 (0.18),0.77 (0.13),0.6 (0.23),0.66 (0.19),0.75 (0.24),0.61 (0.23)
range coef var beta,0.56 (0.19),0.65 (0.23),0.56 (0.21),0.72 (0.23),0.7 (0.24),0.73 (0.23),0.83 (0.13),0.82 (0.13),0.81 (0.12),0.66 (0.2),0.58 (0.21),0.72 (0.22)
range coef var delta,0.76 (0.21),0.78 (0.24),0.58 (0.19),0.79 (0.14),0.78 (0.22),0.78 (0.2),0.82 (0.13),0.82 (0.11),0.66 (0.21),0.75 (0.18),0.68 (0.23),0.72 (0.19)
range coef var gamma,0.74 (0.24),0.67 (0.23),0.77 (0.21),0.75 (0.22),0.77 (0.2),0.77 (0.21),0.79 (0.18),0.8 (0.15),0.69 (0.15),0.72 (0.17),0.77 (0.2),0.71 (0.17)
range coef var theta,0.65 (0.25),0.67 (0.25),0.63 (0.19),0.58 (0.1),0.72 (0.24),0.77 (0.17),0.76 (0.21),0.79 (0.19),0.78 (0.2),0.65 (0.22),0.75 (0.21),0.67 (0.22)
relative ampl alpha,0.63 (0.23),0.58 (0.11),0.76 (0.23),0.65 (0.2),0.55 (0.2),0.8 (0.19),0.78 (0.18),0.82 (0.14),0.53 (0.06),0.77 (0.22),0.76 (0.21),0.71 (0.25)
relative ampl beta,0.78 (0.18),0.58 (0.06),0.61 (0.2),0.69 (0.18),0.62 (0.21),0.69 (0.2),0.79 (0.22),0.81 (0.19),0.73 (0.24),0.61 (0.24),0.61 (0.22),0.63 (0.09)
relative ampl delta,0.68 (0.24),0.53 (0.08),0.63 (0.27),0.59 (0.18),0.76 (0.19),0.73 (0.2),0.73 (0.21),0.8 (0.12),0.59 (0.2),0.6 (0.21),0.7 (0.25),0.71 (0.23)
relative ampl gamma,0.7 (0.17),0.57 (0.18),0.64 (0.24),0.78 (0.17),0.66 (0.21),0.62 (0.21),0.74 (0.2),0.75 (0.14),0.79 (0.18),0.7 (0.24),0.61 (0.18),0.61 (0.22)
relative ampl theta,0.59 (0.18),0.61 (0.19),0.75 (0.17),0.64 (0.18),0.79 (0.19),0.59 (0.2),0.76 (0.18),0.8 (0.12),0.62 (0.16),0.61 (0.2),0.66 (0.2),0.66 (0.25)
rqa determinism,0.78 (0.17),0.6 (0.2),0.6 (0.15),0.78 (0.19),0.58 (0.21),0.65 (0.17),0.8 (0.11),0.78 (0.16),0.76 (0.2),0.74 (0.24),0.62 (0.23),0.67 (0.22)
rqa entropy,0.78 (0.19),0.58 (0.26),0.61 (0.16),0.76 (0.2),0.78 (0.23),0.7 (0.19),0.78 (0.14),0.77 (0.13),0.73 (0.22),0.6 (0.25),0.6 (0.26),0.76 (0.2)
rqa laminarity,0.79 (0.18),0.61 (0.18),0.59 (0.19),0.67 (0.18),0.76 (0.24),0.64 (0.2),0.78 (0.16),0.75 (0.17),0.69 (0.22),0.74 (0.24),0.63 (0.25),0.69 (0.22)
rqa max diagonal,0.78 (0.2),0.64 (0.22),0.67 (0.24),0.65 (0.17),0.75 (0.22),0.66 (0.23),0.77 (0.13),0.77 (0.15),0.79 (0.17),0.73 (0.24),0.77 (0.23),0.66 (0.17)
rqa max vertical,0.77 (0.18),0.61 (0.23),0.66 (0.23),0.63 (0.17),0.63 (0.2),0.73 (0.2),0.81 (0.17),0.8 (0.16),0.79 (0.18),0.6 (0.17),0.64 (0.24),0.62 (0.23)
rqa mean diagonal,0.68 (0.22),0.56 (0.16),0.58 (0.19),0.66 (0.24),0.66 (0.21),0.76 (0.23),0.8 (0.12),0.79 (0.13),0.63 (0.24),0.6 (0.23),0.61 (0.24),0.67 (0.24)
rqa rte,0.8 (0.2),0.64 (0.19),0.79 (0.2),0.72 (0.2),0.62 (0.25),0.76 (0.22),0.81 (0.13),0.82 (0.09),0.79 (0.23),0.68 (0.25),0.63 (0.21),0.6 (0.22)
rqa trapping time,0.74 (0.2),0.64 (0.14),0.72 (0.23),0.63 (0.18),0.8 (0.2),0.75 (0.22),0.82 (0.14),0.81 (0.13),0.67 (0.18),0.59 (0.21),0.71 (0.18),0.64 (0.19)
sample entropy,0.76 (0.17),0.6 (0.16),0.67 (0.23),0.66 (0.17),0.56 (0.12),0.62 (0.22),0.76 (0.17),0.78 (0.12),0.76 (0.16),0.63 (0.18),0.68 (0.21),0.66 (0.17)
skewness ampl alpha,0.64 (0.21),0.6 (0.18),0.75 (0.23),0.75 (0.19),0.76 (0.12),0.79 (0.2),0.8 (0.17),0.8 (0.13),0.79 (0.22),0.79 (0.18),0.79 (0.19),0.65 (0.16)
skewness ampl beta,0.62 (0.26),0.76 (0.16),0.78 (0.21),0.66 (0.21),0.79 (0.18),0.77 (0.17),0.79 (0.18),0.79 (0.13),0.71 (0.22),0.61 (0.21),0.8 (0.16),0.7 (0.21)
skewness ampl delta,0.68 (0.17),0.72 (0.18),0.75 (0.23),0.74 (0.23),0.73 (0.23),0.74 (0.2),0.79 (0.18),0.8 (0.1),0.79 (0.19),0.8 (0.2),0.65 (0.22),0.63 (0.23)
skewness ampl gamma,0.69 (0.24),0.62 (0.18),0.81 (0.16),0.66 (0.22),0.74 (0.21),0.75 (0.2),0.81 (0.14),0.8 (0.14),0.75 (0.15),0.59 (0.24),0.75 (0.19),0.67 (0.22)
skewness ampl theta,0.6 (0.18),0.81 (0.09),0.68 (0.24),0.66 (0.19),0.76 (0.22),0.73 (0.22),0.79 (0.15),0.77 (0.15),0.73 (0.2),0.59 (0.22),0.74 (0.2),0.75 (0.17)
source ampl alpha,0.67 (0.21),0.66 (0.22),0.82 (0.18),0.8 (0.08),0.78 (0.2),0.75 (0.21),0.81 (0.15),0.81 (0.1),0.63 (0.23),0.65 (0.2),0.79 (0.14),0.73 (0.22)
source ampl beta,0.75 (0.23),0.75 (0.21),0.69 (0.21),0.82 (0.16),0.74 (0.22),0.74 (0.21),0.78 (0.13),0.77 (0.15),0.6 (0.15),0.59 (0.18),0.63 (0.21),0.62 (0.22)
source ampl delta,0.71 (0.2),0.78 (0.2),0.8 (0.16),0.68 (0.2),0.75 (0.19),0.76 (0.23),0.81 (0.1),0.83 (0.1),0.75 (0.21),0.76 (0.18),0.79 (0.18),0.75 (0.19)
source ampl gamma,0.69 (0.22),0.7 (0.22),0.73 (0.2),0.76 (0.2),0.76 (0.16),0.61 (0.21),0.8 (0.15),0.77 (0.13),0.61 (0.17),0.69 (0.23),0.72 (0.23),0.6 (0.18)
source ampl theta,0.67 (0.17),0.71 (0.2),0.78 (0.16),0.7 (0.18),0.74 (0.21),0.61 (0.22),0.8 (0.14),0.8 (0.12),0.62 (0.15),0.83 (0.08),0.82 (0.16),0.75 (0.18)
spectral entropy alpha,0.74 (0.23),0.58 (0.14),0.78 (0.2),0.77 (0.21),0.6 (0.28),0.73 (0.21),0.79 (0.16),0.81 (0.13),0.56 (0.06),0.64 (0.2),0.78 (0.21),0.64 (0.23)
spectral entropy beta,0.78 (0.19),0.58 (0.06),0.59 (0.21),0.7 (0.19),0.6 (0.21),0.64 (0.22),0.78 (0.22),0.79 (0.19),0.75 (0.21),0.57 (0.18),0.61 (0.23),0.63 (0.1)
spectral entropy delta,0.73 (0.23),0.54 (0.07),0.64 (0.23),0.59 (0.12),0.75 (0.22),0.72 (0.21),0.8 (0.16),0.82 (0.12),0.67 (0.27),0.6 (0.21),0.6 (0.26),0.69 (0.21)
spectral entropy gamma,0.77 (0.2),0.57 (0.2),0.73 (0.22),0.77 (0.17),0.62 (0.21),0.6 (0.18),0.77 (0.14),0.77 (0.15),0.71 (0.2),0.64 (0.25),0.62 (0.21),0.61 (0.07)
spectral entropy theta,0.64 (0.22),0.61 (0.27),0.75 (0.23),0.68 (0.2),0.79 (0.14),0.58 (0.14),0.78 (0.19),0.8 (0.16),0.64 (0.16),0.6 (0.19),0.61 (0.11),0.72 (0.25)
std ampl alpha,0.71 (0.22),0.55 (0.15),0.77 (0.22),0.59 (0.23),0.67 (0.25),0.62 (0.14),0.79 (0.19),0.79 (0.13),0.68 (0.24),0.59 (0.17),0.6 (0.17),0.61 (0.16)
std ampl beta,0.61 (0.07),0.65 (0.27),0.59 (0.22),0.63 (0.18),0.77 (0.19),0.75 (0.18),0.82 (0.13),0.82 (0.11),0.71 (0.22),0.58 (0.09),0.67 (0.18),0.74 (0.21)
std ampl delta,0.79 (0.15),0.74 (0.22),0.66 (0.18),0.7 (0.22),0.75 (0.23),0.63 (0.17),0.8 (0.2),0.81 (0.13),0.67 (0.2),0.81 (0.14),0.78 (0.18),0.62 (0.23)
std ampl gamma,0.77 (0.19),0.76 (0.2),0.74 (0.22),0.64 (0.24),0.81 (0.08),0.67 (0.14),0.82 (0.13),0.81 (0.15),0.7 (0.16),0.6 (0.23),0.71 (0.21),0.59 (0.24)
std ampl theta,0.74 (0.16),0.65 (0.23),0.79 (0.23),0.78 (0.24),0.62 (0.19),0.63 (0.21),0.79 (0.21),0.77 (0.15),0.63 (0.12),0.61 (0.22),0.55 (0.24),0.59 (0.11)
waiting time alpha,0.61 (0.2),0.68 (0.19),0.73 (0.23),0.68 (0.15),0.79 (0.18),0.77 (0.23),0.79 (0.21),0.82 (0.16),0.77 (0.25),0.78 (0.2),0.8 (0.21),0.56 (0.13)
waiting time beta,0.59 (0.23),0.57 (0.2),0.79 (0.2),0.71 (0.2),0.74 (0.22),0.81 (0.09),0.8 (0.14),0.8 (0.14),0.78 (0.21),0.76 (0.2),0.75 (0.19),0.6 (0.21)
waiting time delta,0.77 (0.22),0.73 (0.19),0.79 (0.22),0.77 (0.19),0.75 (0.23),0.77 (0.18),0.82 (0.1),0.8 (0.15),0.71 (0.2),0.8 (0.18),0.76 (0.19),0.66 (0.15)
waiting time gamma,0.73 (0.22),0.59 (0.07),0.63 (0.2),0.66 (0.22),0.67 (0.24),0.63 (0.27),0.77 (0.18),0.79 (0.17),0.65 (0.18),0.79 (0.19),0.75 (0.24),0.65 (0.18)
waiting time theta,0.75 (0.23),0.74 (0.23),0.78 (0.22),0.7 (0.22),0.74 (0.24),0.76 (0.17),0.82 (0.14),0.81 (0.12),0.65 (0.17),0.74 (0.17),0.76 (0.21),0.75 (0.21)
