,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
node str s-lcoh alpha,0.83 (0.04),0.82 (0.05),0.82 (0.04),0.82 (0.06),0.82 (0.07),0.79 (0.08),0.83 (0.08),0.82 (0.08),0.82 (0.07),0.81 (0.05),0.82 (0.06),0.81 (0.07)
node str s-lcoh beta,0.81 (0.07),0.81 (0.05),0.82 (0.06),0.81 (0.08),0.83 (0.05),0.82 (0.04),0.81 (0.07),0.81 (0.05),0.83 (0.07),0.83 (0.07),0.82 (0.05),0.81 (0.09)
node str s-lcoh delta,0.81 (0.08),0.82 (0.08),0.79 (0.1),0.79 (0.08),0.82 (0.07),0.82 (0.05),0.85 (0.07),0.82 (0.04),0.83 (0.07),0.8 (0.06),0.81 (0.09),0.8 (0.07)
node str s-lcoh gamma,0.82 (0.06),0.8 (0.07),0.81 (0.06),0.82 (0.07),0.8 (0.07),0.83 (0.03),0.82 (0.07),0.81 (0.07),0.82 (0.07),0.82 (0.07),0.82 (0.06),0.75 (0.09)
node str s-lcoh theta,0.81 (0.06),0.82 (0.06),0.84 (0.04),0.79 (0.09),0.82 (0.07),0.83 (0.06),0.78 (0.08),0.81 (0.05),0.8 (0.06),0.82 (0.05),0.79 (0.08),0.83 (0.05)
node str s-lps alpha,0.83 (0.03),0.83 (0.05),0.81 (0.07),0.77 (0.09),0.82 (0.06),0.79 (0.05),0.84 (0.07),0.82 (0.07),0.82 (0.06),0.81 (0.06),0.79 (0.07),0.83 (0.05)
node str s-lps beta,0.8 (0.08),0.79 (0.06),0.82 (0.04),0.83 (0.07),0.84 (0.04),0.84 (0.05),0.82 (0.07),0.8 (0.05),0.84 (0.06),0.81 (0.06),0.83 (0.07),0.82 (0.07)
node str s-lps delta,0.81 (0.08),0.81 (0.11),0.81 (0.07),0.8 (0.1),0.82 (0.08),0.83 (0.04),0.83 (0.06),0.84 (0.07),0.84 (0.05),0.81 (0.06),0.8 (0.09),0.83 (0.04)
node str s-lps gamma,0.8 (0.06),0.79 (0.06),0.8 (0.06),0.8 (0.09),0.79 (0.08),0.81 (0.06),0.83 (0.07),0.81 (0.06),0.81 (0.05),0.83 (0.04),0.83 (0.04),0.81 (0.06)
node str s-lps theta,0.82 (0.06),0.79 (0.07),0.82 (0.07),0.81 (0.08),0.81 (0.06),0.78 (0.06),0.8 (0.09),0.77 (0.06),0.81 (0.05),0.8 (0.06),0.81 (0.07),0.83 (0.05)
permutation entropy,0.78 (0.09),0.81 (0.05),0.83 (0.06),0.82 (0.06),0.8 (0.09),0.79 (0.09),0.83 (0.07),0.8 (0.06),0.82 (0.07),0.82 (0.08),0.83 (0.08),0.77 (0.08)
range asymmetry alpha,0.81 (0.08),0.82 (0.04),0.81 (0.06),0.82 (0.07),0.83 (0.06),0.83 (0.05),0.81 (0.06),0.82 (0.04),0.81 (0.05),0.8 (0.08),0.82 (0.07),0.83 (0.06)
range asymmetry beta,0.81 (0.08),0.81 (0.06),0.83 (0.06),0.84 (0.04),0.83 (0.08),0.84 (0.06),0.84 (0.05),0.83 (0.06),0.82 (0.06),0.83 (0.05),0.81 (0.07),0.81 (0.08)
range asymmetry delta,0.8 (0.05),0.81 (0.07),0.83 (0.05),0.84 (0.04),0.82 (0.07),0.84 (0.05),0.83 (0.07),0.82 (0.04),0.83 (0.06),0.81 (0.06),0.81 (0.07),0.82 (0.08)
range asymmetry gamma,0.83 (0.04),0.83 (0.07),0.82 (0.06),0.81 (0.08),0.83 (0.07),0.84 (0.04),0.81 (0.06),0.82 (0.04),0.81 (0.06),0.81 (0.06),0.83 (0.04),0.82 (0.08)
range asymmetry theta,0.82 (0.07),0.81 (0.06),0.81 (0.06),0.85 (0.04),0.82 (0.08),0.82 (0.07),0.83 (0.06),0.8 (0.05),0.81 (0.06),0.82 (0.04),0.84 (0.05),0.82 (0.06)
range coef var alpha,0.79 (0.1),0.81 (0.08),0.81 (0.09),0.85 (0.04),0.77 (0.1),0.82 (0.06),0.8 (0.06),0.82 (0.06),0.8 (0.07),0.81 (0.05),0.8 (0.07),0.83 (0.08)
range coef var beta,0.77 (0.1),0.81 (0.07),0.78 (0.08),0.83 (0.06),0.8 (0.09),0.82 (0.06),0.82 (0.06),0.83 (0.05),0.82 (0.05),0.81 (0.07),0.82 (0.07),0.82 (0.06)
range coef var delta,0.73 (0.11),0.78 (0.08),0.81 (0.08),0.81 (0.06),0.81 (0.09),0.84 (0.07),0.83 (0.08),0.81 (0.05),0.81 (0.06),0.82 (0.07),0.81 (0.05),0.8 (0.07)
range coef var gamma,0.8 (0.06),0.8 (0.08),0.81 (0.05),0.8 (0.09),0.8 (0.08),0.79 (0.09),0.83 (0.07),0.8 (0.06),0.84 (0.05),0.8 (0.06),0.81 (0.07),0.79 (0.08)
range coef var theta,0.78 (0.07),0.8 (0.09),0.81 (0.09),0.83 (0.04),0.76 (0.09),0.83 (0.06),0.84 (0.06),0.79 (0.05),0.81 (0.04),0.8 (0.08),0.81 (0.1),0.85 (0.05)
relative ampl alpha,0.78 (0.09),0.85 (0.05),0.81 (0.08),0.77 (0.11),0.78 (0.08),0.77 (0.12),0.85 (0.08),0.79 (0.07),0.82 (0.05),0.83 (0.08),0.79 (0.07),0.81 (0.08)
relative ampl beta,0.8 (0.09),0.82 (0.06),0.81 (0.08),0.8 (0.08),0.85 (0.04),0.8 (0.07),0.82 (0.08),0.8 (0.06),0.85 (0.06),0.82 (0.06),0.79 (0.1),0.81 (0.1)
relative ampl delta,0.82 (0.08),0.82 (0.06),0.83 (0.06),0.81 (0.09),0.81 (0.09),0.83 (0.03),0.85 (0.06),0.83 (0.05),0.8 (0.04),0.8 (0.08),0.79 (0.08),0.81 (0.08)
relative ampl gamma,0.81 (0.07),0.79 (0.09),0.81 (0.07),0.83 (0.07),0.81 (0.08),0.83 (0.07),0.82 (0.07),0.79 (0.05),0.82 (0.06),0.82 (0.07),0.81 (0.09),0.78 (0.09)
relative ampl theta,0.73 (0.12),0.83 (0.08),0.78 (0.12),0.83 (0.06),0.79 (0.1),0.83 (0.04),0.8 (0.07),0.82 (0.07),0.81 (0.05),0.8 (0.09),0.79 (0.09),0.81 (0.11)
rqa determinism,0.79 (0.09),0.82 (0.08),0.84 (0.05),0.83 (0.07),0.81 (0.1),0.78 (0.08),0.83 (0.07),0.8 (0.06),0.82 (0.05),0.83 (0.05),0.8 (0.07),0.83 (0.08)
rqa entropy,0.79 (0.07),0.84 (0.07),0.81 (0.08),0.83 (0.06),0.78 (0.08),0.78 (0.07),0.82 (0.07),0.83 (0.05),0.85 (0.05),0.8 (0.06),0.81 (0.07),0.84 (0.04)
rqa laminarity,0.8 (0.1),0.82 (0.07),0.84 (0.05),0.83 (0.05),0.8 (0.09),0.82 (0.06),0.82 (0.06),0.77 (0.06),0.81 (0.07),0.82 (0.05),0.78 (0.1),0.84 (0.05)
rqa max diagonal,0.79 (0.1),0.8 (0.08),0.85 (0.05),0.82 (0.08),0.81 (0.09),0.83 (0.05),0.82 (0.08),0.78 (0.05),0.82 (0.05),0.83 (0.06),0.81 (0.09),0.82 (0.08)
rqa max vertical,0.8 (0.07),0.82 (0.07),0.85 (0.04),0.82 (0.07),0.8 (0.11),0.82 (0.06),0.83 (0.07),0.79 (0.04),0.83 (0.05),0.83 (0.05),0.81 (0.1),0.81 (0.09)
rqa mean diagonal,0.79 (0.06),0.83 (0.07),0.82 (0.08),0.83 (0.05),0.82 (0.08),0.79 (0.06),0.82 (0.08),0.83 (0.06),0.85 (0.05),0.79 (0.06),0.8 (0.06),0.83 (0.04)
rqa rte,0.81 (0.06),0.81 (0.08),0.83 (0.06),0.83 (0.06),0.77 (0.1),0.8 (0.1),0.82 (0.07),0.79 (0.08),0.81 (0.06),0.82 (0.07),0.78 (0.08),0.83 (0.09)
rqa trapping time,0.77 (0.11),0.82 (0.07),0.86 (0.03),0.8 (0.09),0.74 (0.12),0.82 (0.07),0.82 (0.06),0.79 (0.07),0.81 (0.05),0.8 (0.07),0.8 (0.09),0.81 (0.11)
sample entropy,0.8 (0.08),0.79 (0.08),0.81 (0.08),0.83 (0.07),0.82 (0.1),0.81 (0.07),0.82 (0.08),0.79 (0.05),0.83 (0.09),0.82 (0.06),0.82 (0.08),0.82 (0.06)
skewness ampl alpha,0.83 (0.06),0.84 (0.05),0.83 (0.06),0.83 (0.05),0.83 (0.06),0.8 (0.05),0.85 (0.07),0.82 (0.05),0.8 (0.05),0.82 (0.07),0.81 (0.08),0.81 (0.05)
skewness ampl beta,0.81 (0.08),0.82 (0.08),0.83 (0.05),0.83 (0.08),0.8 (0.07),0.82 (0.05),0.83 (0.06),0.83 (0.06),0.84 (0.05),0.83 (0.03),0.82 (0.08),0.83 (0.07)
skewness ampl delta,0.81 (0.1),0.82 (0.06),0.81 (0.07),0.84 (0.07),0.83 (0.08),0.82 (0.05),0.86 (0.08),0.82 (0.05),0.82 (0.05),0.82 (0.05),0.81 (0.07),0.84 (0.06)
skewness ampl gamma,0.83 (0.05),0.83 (0.07),0.83 (0.08),0.84 (0.07),0.85 (0.04),0.82 (0.06),0.82 (0.08),0.79 (0.08),0.83 (0.04),0.78 (0.07),0.82 (0.06),0.82 (0.08)
skewness ampl theta,0.82 (0.07),0.84 (0.04),0.82 (0.06),0.81 (0.08),0.81 (0.1),0.84 (0.06),0.81 (0.05),0.8 (0.05),0.8 (0.04),0.83 (0.07),0.81 (0.08),0.84 (0.04)
source ampl alpha,0.8 (0.07),0.83 (0.06),0.85 (0.06),0.81 (0.07),0.82 (0.08),0.82 (0.06),0.83 (0.08),0.82 (0.05),0.81 (0.05),0.8 (0.08),0.8 (0.07),0.84 (0.04)
source ampl beta,0.81 (0.06),0.81 (0.06),0.8 (0.06),0.83 (0.08),0.83 (0.06),0.8 (0.06),0.83 (0.06),0.82 (0.06),0.82 (0.05),0.82 (0.06),0.83 (0.04),0.83 (0.06)
source ampl delta,0.81 (0.08),0.84 (0.05),0.83 (0.04),0.8 (0.08),0.82 (0.07),0.84 (0.06),0.83 (0.07),0.8 (0.04),0.81 (0.05),0.81 (0.07),0.8 (0.07),0.82 (0.05)
source ampl gamma,0.8 (0.07),0.79 (0.1),0.79 (0.07),0.81 (0.07),0.82 (0.05),0.83 (0.06),0.84 (0.06),0.82 (0.08),0.81 (0.05),0.78 (0.06),0.81 (0.07),0.81 (0.06)
source ampl theta,0.77 (0.09),0.83 (0.06),0.84 (0.03),0.83 (0.06),0.83 (0.06),0.81 (0.07),0.83 (0.07),0.84 (0.06),0.8 (0.05),0.8 (0.07),0.81 (0.07),0.8 (0.06)
spectral entropy alpha,0.81 (0.08),0.82 (0.05),0.83 (0.06),0.8 (0.08),0.78 (0.07),0.78 (0.12),0.86 (0.06),0.79 (0.05),0.81 (0.06),0.81 (0.06),0.79 (0.08),0.82 (0.08)
spectral entropy beta,0.81 (0.1),0.81 (0.07),0.81 (0.08),0.81 (0.08),0.85 (0.04),0.81 (0.08),0.81 (0.07),0.81 (0.08),0.85 (0.06),0.83 (0.05),0.78 (0.1),0.82 (0.1)
spectral entropy delta,0.8 (0.08),0.82 (0.07),0.82 (0.08),0.81 (0.08),0.81 (0.09),0.82 (0.07),0.84 (0.07),0.83 (0.04),0.8 (0.06),0.81 (0.07),0.78 (0.09),0.82 (0.1)
spectral entropy gamma,0.8 (0.08),0.78 (0.09),0.8 (0.08),0.83 (0.06),0.81 (0.08),0.83 (0.07),0.83 (0.08),0.79 (0.04),0.82 (0.06),0.82 (0.05),0.82 (0.07),0.77 (0.08)
spectral entropy theta,0.74 (0.09),0.84 (0.07),0.78 (0.12),0.81 (0.09),0.8 (0.09),0.83 (0.05),0.81 (0.09),0.8 (0.06),0.81 (0.06),0.81 (0.09),0.77 (0.09),0.79 (0.11)
std ampl alpha,0.77 (0.08),0.78 (0.09),0.79 (0.08),0.82 (0.09),0.8 (0.11),0.8 (0.07),0.84 (0.08),0.79 (0.06),0.78 (0.05),0.83 (0.06),0.81 (0.08),0.8 (0.07)
std ampl beta,0.81 (0.08),0.82 (0.07),0.76 (0.13),0.85 (0.06),0.79 (0.09),0.78 (0.09),0.85 (0.05),0.83 (0.06),0.81 (0.06),0.83 (0.06),0.8 (0.08),0.83 (0.07)
std ampl delta,0.81 (0.09),0.8 (0.08),0.8 (0.08),0.81 (0.1),0.83 (0.09),0.82 (0.07),0.84 (0.07),0.82 (0.07),0.82 (0.08),0.81 (0.06),0.81 (0.07),0.84 (0.05)
std ampl gamma,0.84 (0.05),0.81 (0.08),0.79 (0.13),0.81 (0.11),0.81 (0.08),0.81 (0.07),0.82 (0.07),0.8 (0.08),0.8 (0.06),0.8 (0.08),0.82 (0.1),0.81 (0.09)
std ampl theta,0.77 (0.1),0.76 (0.09),0.81 (0.08),0.83 (0.1),0.81 (0.09),0.82 (0.07),0.83 (0.05),0.8 (0.06),0.79 (0.06),0.8 (0.06),0.76 (0.11),0.79 (0.07)
waiting time alpha,0.8 (0.08),0.83 (0.07),0.84 (0.07),0.77 (0.1),0.75 (0.13),0.77 (0.08),0.84 (0.07),0.82 (0.07),0.8 (0.06),0.82 (0.06),0.81 (0.09),0.84 (0.05)
waiting time beta,0.82 (0.05),0.8 (0.07),0.8 (0.06),0.82 (0.08),0.83 (0.06),0.84 (0.04),0.81 (0.06),0.82 (0.05),0.81 (0.07),0.81 (0.08),0.79 (0.08),0.85 (0.07)
waiting time delta,0.81 (0.09),0.82 (0.07),0.81 (0.07),0.83 (0.04),0.83 (0.07),0.86 (0.05),0.83 (0.08),0.83 (0.05),0.83 (0.04),0.81 (0.06),0.81 (0.04),0.83 (0.06)
waiting time gamma,0.8 (0.06),0.78 (0.08),0.79 (0.09),0.81 (0.05),0.83 (0.07),0.84 (0.07),0.81 (0.06),0.76 (0.06),0.82 (0.06),0.76 (0.1),0.79 (0.09),0.82 (0.07)
waiting time theta,0.79 (0.09),0.82 (0.06),0.8 (0.08),0.82 (0.07),0.8 (0.11),0.81 (0.06),0.8 (0.07),0.84 (0.06),0.82 (0.05),0.79 (0.06),0.8 (0.1),0.84 (0.07)
