,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
node str s-lcoh alpha,0.02 (0.13),0.0 (0.0),0.0 (0.02),0.28 (0.2),0.0 (0.12),0.0 (0.01),0.01 (0.01),0.0 (0.01),0.05 (0.26),0.18 (0.13),0.09 (0.23),0.0 (0.11)
node str s-lcoh beta,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.03 (0.06),0.0 (0.03),0.09 (0.27),0.0 (0.03),0.0 (0.04),0.0 (0.0)
node str s-lcoh delta,0.15 (0.21),0.15 (0.09),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.07),0.0 (0.03),0.0 (0.0),0.0 (0.0)
node str s-lcoh gamma,0.0 (0.0),0.0 (0.1),0.09 (0.15),0.02 (0.05),0.06 (0.07),0.03 (0.06),0.01 (0.02),0.01 (0.03),0.27 (0.32),0.02 (0.04),0.02 (0.03),0.0 (0.0)
node str s-lcoh theta,0.0 (0.32),0.0 (0.0),0.01 (0.1),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.01 (0.03),0.0 (0.02),0.02 (0.06),0.0 (0.01)
node str s-lps alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.08 (0.1),0.0 (0.02),0.0 (0.02),0.0 (0.05),0.0 (0.05),0.0 (0.01),0.24 (0.23),0.0 (0.15),0.0 (0.12)
node str s-lps beta,0.0 (0.0),0.0 (0.01),0.0 (0.08),0.0 (0.0),0.02 (0.04),0.0 (0.0),0.0 (0.03),0.01 (0.03),0.2 (0.19),0.0 (0.01),0.0 (0.0),0.0 (0.0)
node str s-lps delta,0.13 (0.19),0.12 (0.19),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.13),0.01 (0.04),0.0 (0.0),0.0 (0.11)
node str s-lps gamma,0.0 (0.0),0.0 (0.01),0.0 (0.02),0.01 (0.04),0.03 (0.04),0.03 (0.05),0.0 (0.01),0.01 (0.05),0.44 (0.2),0.0 (0.01),0.02 (0.03),0.0 (0.01)
node str s-lps theta,0.09 (0.24),0.01 (0.08),0.0 (0.13),0.0 (0.0),0.0 (0.08),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.05),0.0 (0.01),0.0 (0.05),0.0 (0.0)
permutation entropy,0.01 (0.02),0.0 (0.0),0.0 (0.01),0.03 (0.04),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.01 (0.01),0.0 (0.0),0.01 (0.04),0.0 (0.02),0.0 (0.01)
range asymmetry alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.04),0.0 (0.0),0.0 (0.0),0.04 (0.03),0.02 (0.01),0.0 (0.0),0.34 (0.39),0.0 (0.0),0.03 (0.05)
range asymmetry beta,0.0 (0.02),0.0 (0.04),0.0 (0.0),0.0 (0.0),0.04 (0.11),0.0 (0.0),0.02 (0.31),0.02 (0.02),0.0 (0.0),0.08 (0.17),0.01 (0.05),0.0 (0.0)
range asymmetry delta,0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.1),0.0 (0.0),0.07 (0.14),0.05 (0.08),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.24),0.01 (0.06)
range asymmetry gamma,0.0 (0.21),0.05 (0.14),0.04 (0.08),0.28 (0.27),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.02),0.03 (0.06),0.31 (0.21),0.01 (0.17),0.0 (0.03)
range asymmetry theta,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.1 (0.05),0.13 (0.19),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.14 (0.17),0.0 (0.01),0.0 (0.0),0.04 (0.03)
range coef var alpha,0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.01),0.0 (0.17),0.0 (0.0),0.0 (0.01),0.0 (0.01),0.02 (0.04),0.07 (0.14),0.0 (0.0),0.13 (0.22)
range coef var beta,0.0 (0.0),0.0 (0.0),0.0 (0.03),0.0 (0.02),0.0 (0.02),0.0 (0.0),0.0 (0.01),0.01 (0.08),0.06 (0.17),0.1 (0.07),0.0 (0.0),0.0 (0.0)
range coef var delta,0.04 (0.08),0.0 (0.02),0.0 (0.0),0.2 (0.25),0.0 (0.1),0.13 (0.21),0.0 (0.0),0.0 (0.03),0.02 (0.05),0.0 (0.0),0.0 (0.0),0.05 (0.04)
range coef var gamma,0.0 (0.01),0.0 (0.0),0.09 (0.15),0.04 (0.1),0.0 (0.13),0.0 (0.02),0.0 (0.02),0.0 (0.0),0.17 (0.14),0.12 (0.14),0.0 (0.02),0.14 (0.11)
range coef var theta,0.0 (0.0),0.02 (0.06),0.0 (0.0),0.02 (0.2),0.0 (0.13),0.0 (0.0),0.0 (0.01),0.0 (0.01),0.02 (0.06),0.0 (0.0),0.0 (0.02),0.03 (0.03)
relative ampl alpha,0.02 (0.04),0.0 (0.0),0.0 (0.01),0.04 (0.12),0.0 (0.0),0.0 (0.0),0.02 (0.02),0.01 (0.01),0.0 (0.0),0.03 (0.04),0.0 (0.1),0.0 (0.0)
relative ampl beta,0.03 (0.1),0.0 (0.0),0.0 (0.0),0.03 (0.06),0.0 (0.02),0.0 (0.07),0.02 (0.02),0.0 (0.01),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.01 (0.02)
relative ampl delta,0.03 (0.03),0.0 (0.01),0.0 (0.02),0.0 (0.02),0.0 (0.02),0.02 (0.1),0.01 (0.01),0.01 (0.01),0.0 (0.02),0.0 (0.03),0.01 (0.11),0.0 (0.1)
relative ampl gamma,0.0 (0.01),0.0 (0.0),0.0 (0.02),0.03 (0.06),0.0 (0.09),0.0 (0.0),0.01 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.01 (0.03)
relative ampl theta,0.02 (0.03),0.0 (0.0),0.0 (0.0),0.31 (0.3),0.03 (0.15),0.0 (0.0),0.0 (0.07),0.0 (0.0),0.0 (0.01),0.0 (0.02),0.0 (0.0),0.0 (0.1)
rqa determinism,0.0 (0.01),0.0 (0.0),0.0 (0.0),0.05 (0.09),0.0 (0.0),0.0 (0.0),0.02 (0.02),0.01 (0.01),0.0 (0.08),0.0 (0.01),0.0 (0.0),0.01 (0.02)
rqa entropy,0.01 (0.03),0.0 (0.0),0.0 (0.01),0.03 (0.06),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.0 (0.01),0.0 (0.01),0.0 (0.06),0.0 (0.01),0.02 (0.07)
rqa laminarity,0.0 (0.08),0.0 (0.0),0.0 (0.0),0.03 (0.04),0.01 (0.06),0.0 (0.01),0.01 (0.01),0.0 (0.01),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.02 (0.03)
rqa max diagonal,0.0 (0.01),0.0 (0.01),0.0 (0.0),0.03 (0.06),0.0 (0.02),0.0 (0.01),0.01 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.03 (0.03)
rqa max vertical,0.0 (0.02),0.0 (0.0),0.0 (0.0),0.04 (0.05),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.09),0.03 (0.03)
rqa mean diagonal,0.01 (0.03),0.0 (0.0),0.0 (0.0),0.03 (0.06),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.01 (0.01),0.0 (0.02),0.0 (0.04),0.0 (0.01),0.01 (0.02)
rqa rte,0.01 (0.02),0.0 (0.02),0.0 (0.01),0.0 (0.05),0.08 (0.11),0.0 (0.03),0.04 (0.06),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.05)
rqa trapping time,0.0 (0.0),0.03 (0.18),0.0 (0.0),0.01 (0.04),0.0 (0.09),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.04 (0.04)
sample entropy,0.0 (0.02),0.0 (0.0),0.0 (0.0),0.03 (0.07),0.0 (0.01),0.0 (0.0),0.01 (0.02),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.02 (0.02)
skewness ampl alpha,0.0 (0.03),0.0 (0.0),0.0 (0.0),0.09 (0.12),0.01 (0.09),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.1 (0.15),0.0 (0.13),0.01 (0.03)
skewness ampl beta,0.0 (0.0),0.0 (0.0),0.05 (0.14),0.0 (0.02),0.02 (0.04),0.0 (0.02),0.0 (0.0),0.0 (0.01),0.03 (0.08),0.0 (0.11),0.0 (0.09),0.0 (0.0)
skewness ampl delta,0.06 (0.05),0.05 (0.07),0.0 (0.0),0.0 (0.0),0.05 (0.24),0.07 (0.09),0.0 (0.0),0.0 (0.01),0.15 (0.23),0.0 (0.0),0.0 (0.09),0.0 (0.0)
skewness ampl gamma,0.01 (0.04),0.0 (0.14),0.0 (0.12),0.0 (0.0),0.03 (0.12),0.0 (0.0),0.01 (0.01),0.0 (0.01),0.07 (0.04),0.0 (0.01),0.0 (0.02),0.0 (0.26)
skewness ampl theta,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.01 (0.12),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.0 (0.12),0.0 (0.0),0.0 (0.0),0.0 (0.24)
source ampl alpha,0.1 (0.07),0.0 (0.04),0.14 (0.15),0.54 (0.19),0.04 (0.09),0.0 (0.0),0.02 (0.02),0.02 (0.03),0.0 (0.0),0.14 (0.1),0.26 (0.35),0.0 (0.0)
source ampl beta,0.02 (0.1),0.0 (0.01),0.05 (0.13),0.11 (0.16),0.08 (0.16),0.0 (0.0),0.01 (0.03),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.08),0.0 (0.0)
source ampl delta,0.05 (0.07),0.03 (0.05),0.1 (0.16),0.0 (0.05),0.0 (0.01),0.0 (0.03),0.0 (0.01),0.0 (0.01),0.0 (0.03),0.0 (0.02),0.0 (0.19),0.03 (0.05)
source ampl gamma,0.02 (0.12),0.0 (0.12),0.13 (0.15),0.01 (0.09),0.09 (0.15),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.17),0.0 (0.0)
source ampl theta,0.14 (0.17),0.0 (0.0),0.14 (0.12),0.06 (0.1),0.14 (0.23),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.13 (0.12),0.03 (0.24),0.03 (0.05)
spectral entropy alpha,0.02 (0.06),0.0 (0.01),0.0 (0.0),0.02 (0.04),0.01 (0.03),0.0 (0.02),0.02 (0.04),0.01 (0.02),0.0 (0.0),0.01 (0.03),0.0 (0.14),0.0 (0.0)
spectral entropy beta,0.0 (0.09),0.0 (0.0),0.0 (0.0),0.03 (0.06),0.0 (0.02),0.0 (0.04),0.02 (0.02),0.01 (0.01),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.01 (0.02)
spectral entropy delta,0.03 (0.03),0.0 (0.01),0.0 (0.02),0.0 (0.02),0.0 (0.03),0.02 (0.1),0.01 (0.01),0.01 (0.01),0.0 (0.03),0.0 (0.02),0.01 (0.1),0.0 (0.09)
spectral entropy gamma,0.0 (0.01),0.0 (0.0),0.0 (0.02),0.03 (0.06),0.0 (0.1),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.02 (0.03)
spectral entropy theta,0.02 (0.03),0.0 (0.0),0.0 (0.0),0.32 (0.36),0.03 (0.13),0.0 (0.0),0.0 (0.07),0.0 (0.0),0.0 (0.01),0.0 (0.02),0.0 (0.0),0.01 (0.1)
std ampl alpha,0.05 (0.04),0.0 (0.01),0.0 (0.0),0.02 (0.07),0.01 (0.06),0.0 (0.02),0.0 (0.01),0.0 (0.01),0.0 (0.01),0.02 (0.15),0.0 (0.18),0.02 (0.03)
std ampl beta,0.08 (0.08),0.02 (0.03),0.0 (0.0),0.13 (0.27),0.07 (0.05),0.04 (0.05),0.03 (0.12),0.0 (0.0),0.03 (0.04),0.0 (0.06),0.0 (0.15),0.0 (0.02)
std ampl delta,0.2 (0.16),0.0 (0.02),0.0 (0.08),0.09 (0.14),0.0 (0.01),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.22 (0.25),0.0 (0.18),0.05 (0.07)
std ampl gamma,0.11 (0.09),0.04 (0.04),0.0 (0.0),0.0 (0.0),0.18 (0.07),0.05 (0.05),0.0 (0.04),0.0 (0.0),0.06 (0.07),0.08 (0.17),0.02 (0.06),0.0 (0.0)
std ampl theta,0.17 (0.12),0.0 (0.01),0.0 (0.22),0.14 (0.19),0.0 (0.17),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.18 (0.27),0.0 (0.02),0.04 (0.09)
waiting time alpha,0.04 (0.04),0.0 (0.01),0.0 (0.02),0.03 (0.05),0.0 (0.0),0.0 (0.0),0.01 (0.04),0.0 (0.01),0.0 (0.0),0.02 (0.03),0.0 (0.0),0.0 (0.01)
waiting time beta,0.02 (0.03),0.0 (0.0),0.0 (0.0),0.0 (0.12),0.04 (0.04),0.0 (0.01),0.0 (0.01),0.01 (0.09),0.09 (0.17),0.08 (0.13),0.0 (0.0),0.24 (0.33)
waiting time delta,0.08 (0.09),0.07 (0.11),0.0 (0.2),0.0 (0.0),0.02 (0.17),0.0 (0.05),0.0 (0.01),0.0 (0.03),0.04 (0.12),0.0 (0.06),0.0 (0.05),0.01 (0.02)
waiting time gamma,0.0 (0.02),0.0 (0.13),0.0 (0.0),0.05 (0.08),0.09 (0.15),0.0 (0.01),0.03 (0.02),0.03 (0.03),0.07 (0.04),0.09 (0.07),0.0 (0.02),0.16 (0.3)
waiting time theta,0.0 (0.0),0.0 (0.01),0.02 (0.17),0.01 (0.05),0.0 (0.0),0.0 (0.01),0.0 (0.06),0.0 (0.0),0.05 (0.19),0.02 (0.04),0.0 (0.0),0.0 (0.06)
